sym,edate,entry_date,exit_date,score,entry_price,exit_price,strike,pre_iv_%,post_iv_%,entry_put,exit_put,contracts,stock_chg_%,return_%,dollar_pl,breakeven_%,hv30_%,vsurge,r5d,r20d,dist_52h,atr,regime,win
TEAM,2019-07-22,2019-07-18,2019-07-23,62,172.49,168.37,169.04,55.3,33.2,3.615,2.642,1,-2.39,-26.92,-97.32,-3.4,39.5,1.92,1.6,15.52,-5.98,5.92,bull,0
ADSK,2019-07-22,2019-07-18,2019-07-23,65,424.87,505.53,416.38,59.2,35.5,9.775,0.0,1,18.98,-100.0,-977.49,-3.6,42.3,1.1,5.32,31.9,-5.29,15.18,bull,0
DDOG,2019-07-22,2019-07-18,2019-07-23,80,180.74,164.88,177.12,77.5,46.5,5.915,12.416,1,-8.77,109.89,650.04,-4.4,55.4,0.73,9.23,19.31,-1.02,8.26,bull,1
PANW,2019-10-08,2019-10-04,2019-10-09,87,316.66,284.98,310.32,57.9,34.8,7.07,25.226,1,-10.0,256.82,1815.65,-3.5,41.4,1.61,12.98,27.22,-1.33,12.14,bull,1
ADBE,2019-10-14,2019-10-10,2019-10-15,65,621.28,636.52,608.86,44.6,26.7,9.538,0.401,1,2.45,-95.8,-913.69,-2.9,31.8,1.05,4.38,30.47,-0.83,19.25,bear,0
AMD,2019-10-16,2019-10-14,2019-10-17,78,18.33,14.71,17.96,75.0,45.0,0.576,3.241,8,-19.73,462.8,2131.92,-4.3,53.6,1.32,14.86,23.31,-27.81,0.92,bear,1
MSFT,2019-10-17,2019-10-15,2019-10-18,72,113.6,109.11,111.32,42.0,25.2,1.589,2.544,3,-3.95,60.06,286.35,-2.8,30.0,1.65,8.37,17.4,-11.14,3.15,bear,1
CRWD,2019-10-17,2019-10-15,2019-10-18,68,156.3,139.51,153.17,75.7,45.4,4.968,13.653,1,-10.74,174.82,868.48,-4.4,54.1,1.45,-0.19,20.74,-3.13,6.46,bear,1
META,2019-10-21,2019-10-17,2019-10-22,63,211.43,217.49,207.2,55.3,33.2,4.43,0.265,1,2.87,-94.01,-416.45,-3.4,39.5,1.26,1.14,14.96,-2.61,8.02,bear,0
NOW,2019-10-22,2019-10-18,2019-10-23,75,411.39,395.68,403.17,39.2,23.5,5.194,8.606,1,-3.82,65.69,341.18,-2.7,28.0,1.18,7.2,30.41,-0.74,11.21,bear,1
TEAM,2019-10-22,2019-10-18,2019-10-23,67,197.62,184.4,193.66,68.2,40.9,5.487,9.682,1,-6.69,76.46,419.52,-4.0,48.7,1.86,3.49,12.35,-7.84,7.75,bear,1
META,2020-01-13,2020-01-09,2020-01-14,65,229.13,221.48,224.55,66.1,39.7,6.106,5.361,1,-3.34,-12.2,-74.52,-3.9,47.2,2.33,16.0,4.22,-4.33,8.83,bull,0
ADSK,2020-01-14,2020-01-10,2020-01-15,65,1003.22,972.61,983.16,44.4,26.6,15.313,16.645,1,-3.05,8.69,133.14,-2.9,31.7,0.85,9.34,10.65,-2.16,30.09,bull,1
PLTR,2020-01-16,2020-01-14,2020-01-17,82,23.86,25.52,23.38,110.9,66.5,1.209,0.084,4,6.96,-93.09,-450.28,-6.0,79.2,1.09,16.0,65.45,-1.89,1.37,bull,0
CRWD,2020-04-14,2020-04-10,2020-04-15,62,137.09,145.61,134.34,87.0,52.2,5.185,0.233,1,6.22,-95.51,-495.21,-4.9,62.1,1.71,1.36,16.86,-22.17,6.95,bear,0
INTU,2020-04-16,2020-04-14,2020-04-17,62,450.83,518.87,441.82,45.0,27.0,7.012,0.0,1,15.09,-100.0,-701.21,-2.9,32.1,1.56,2.63,14.91,-1.19,13.01,bear,0
NVDA,2020-04-16,2020-04-14,2020-04-17,62,33.32,32.81,32.65,88.9,53.3,1.295,0.644,3,-1.52,-50.27,-195.28,-5.0,63.5,1.71,-4.08,18.43,-45.65,1.59,bear,0
MRVL,2020-04-17,2020-04-15,2020-04-20,90,48.92,48.26,47.95,75.2,45.1,1.543,0.748,3,-1.35,-51.52,-238.49,-4.3,53.7,2.36,8.54,22.67,-5.85,1.89,bear,0
MSFT,2020-04-17,2020-04-15,2020-04-20,65,106.87,114.92,104.74,46.4,27.9,1.745,0.001,2,7.52,-99.97,-348.83,-3.0,33.2,1.04,10.37,12.92,-11.33,3.04,bear,0
PLTR,2020-04-21,2020-04-17,2020-04-22,65,19.41,17.74,19.02,88.3,53.0,0.749,1.322,6,-8.58,76.51,343.74,-4.9,63.0,0.74,7.92,12.25,-32.84,1.11,bear,1
ZS,2020-04-21,2020-04-17,2020-04-22,60,32.84,33.43,32.19,69.2,41.5,0.932,0.148,5,1.79,-84.1,-391.68,-4.0,49.5,1.12,9.77,12.84,-56.53,1.5,bear,0
CRM,2020-04-22,2020-04-20,2020-04-23,87,187.79,199.99,184.04,58.1,34.9,4.209,0.026,1,6.49,-99.38,-418.27,-3.5,41.5,1.57,7.85,22.15,-0.97,6.62,bear,0
AMD,2020-07-08,2020-07-06,2020-07-09,82,20.03,23.8,19.63,81.0,48.6,0.693,0.0,7,18.81,-100.0,-485.31,-4.6,57.9,1.71,8.24,16.12,-14.71,0.82,bear,0
ZS,2020-07-09,2020-07-07,2020-07-10,65,28.4,27.83,27.83,83.0,49.8,1.012,0.574,4,-2.03,-43.26,-175.17,-4.7,59.3,1.05,6.54,18.0,-60.29,1.24,bear,0
NET,2020-07-09,2020-07-07,2020-07-10,92,162.97,165.02,159.71,71.1,42.7,4.781,0.963,1,1.26,-79.86,-381.81,-4.1,50.8,1.76,9.66,42.54,-0.67,6.87,bear,0
PLTR,2020-07-09,2020-07-07,2020-07-10,63,26.12,26.96,25.6,87.0,52.2,0.987,0.13,5,3.18,-86.79,-428.45,-4.9,62.1,1.2,-1.97,18.87,-10.87,1.41,bear,0
NVDA,2020-07-13,2020-07-09,2020-07-14,73,46.44,50.07,45.51,87.8,52.7,1.777,0.043,2,7.83,-97.56,-346.74,-4.9,62.7,1.37,14.24,18.62,-24.24,2.3,bear,0
SNOW,2020-07-14,2020-07-10,2020-07-15,67,70.82,80.67,69.41,90.3,54.2,2.809,0.005,1,13.91,-99.82,-280.34,-5.0,64.5,1.74,9.77,10.86,-24.88,3.67,bull,0
INTU,2020-07-20,2020-07-16,2020-07-21,64,523.84,509.38,513.37,48.7,29.2,9.149,8.278,1,-2.76,-9.52,-87.06,-3.1,34.8,1.99,6.49,19.8,-4.64,12.66,bull,0
DDOG,2020-07-20,2020-07-16,2020-07-21,62,171.14,178.68,167.71,114.6,68.7,9.017,1.28,1,4.41,-85.8,-773.73,-6.2,81.8,2.17,10.42,5.39,-46.59,9.42,bull,0
ADSK,2020-07-21,2020-07-17,2020-07-22,85,1801.64,1883.97,1765.61,44.8,26.9,27.889,0.176,1,4.57,-99.37,-2771.23,-2.9,32.0,2.29,7.11,31.96,-1.75,52.33,bear,0
ADSK,2020-10-08,2020-10-06,2020-10-09,60,2259.61,2418.31,2214.42,58.6,35.2,51.284,0.228,1,7.02,-99.56,-5105.55,-3.5,41.9,2.09,-0.3,11.32,-3.07,78.14,bull,0
NVDA,2020-10-09,2020-10-07,2020-10-12,80,103.62,81.17,101.55,100.8,60.5,4.691,20.327,1,-21.66,333.28,1563.55,-5.5,72.0,1.11,9.19,52.08,-2.91,4.95,bull,1
SHOP,2020-10-13,2020-10-09,2020-10-14,62,47.17,45.4,46.22,85.0,51.0,1.733,1.428,2,-3.75,-17.57,-60.91,-4.8,60.7,1.81,-2.68,16.01,-10.24,2.27,bull,0
ORCL,2020-10-13,2020-10-09,2020-10-14,65,201.51,235.77,197.48,41.0,24.6,2.726,0.0,1,17.0,-100.0,-272.64,-2.7,29.3,2.01,1.39,16.32,-1.61,4.9,bull,0
ZS,2020-10-15,2020-10-13,2020-10-16,84,42.3,45.91,41.46,87.3,52.4,1.61,0.029,3,8.52,-98.21,-474.26,-4.9,62.4,1.93,26.99,13.18,-1.22,2.01,bull,0
AMD,2020-10-19,2020-10-15,2020-10-20,78,39.48,39.16,38.69,79.7,47.8,1.34,0.555,3,-0.79,-58.57,-235.5,-4.5,56.9,1.21,5.57,57.84,-4.93,2.0,bear,0
SNOW,2020-10-20,2020-10-16,2020-10-21,68,68.02,76.24,66.66,101.3,60.8,3.1,0.028,1,12.09,-99.1,-307.17,-5.6,72.4,1.21,11.87,9.91,-27.86,3.96,bear,0
OKTA,2020-10-20,2020-10-16,2020-10-21,60,80.3,83.82,78.69,59.6,35.7,1.86,0.056,2,4.38,-97.01,-360.95,-3.6,42.5,2.26,0.52,16.37,-35.28,3.47,bear,0
SNOW,2021-01-11,2021-01-07,2021-01-12,85,151.7,131.59,148.66,75.4,45.3,4.797,17.01,1,-13.26,254.61,1221.31,-4.3,53.9,0.84,25.56,42.16,-2.76,8.79,bull,1
DDOG,2021-01-14,2021-01-12,2021-01-15,77,220.55,238.12,216.14,79.5,47.7,7.456,0.11,1,7.97,-98.53,-734.58,-4.5,56.8,1.55,9.18,21.56,-12.12,9.79,bull,0
AMD,2021-01-14,2021-01-12,2021-01-15,82,58.93,60.39,57.75,84.3,50.6,2.146,0.342,2,2.48,-84.04,-360.69,-4.8,60.2,1.83,7.29,20.16,-3.81,3.0,bull,0
INTU,2021-01-20,2021-01-18,2021-01-21,65,542.03,450.18,531.19,40.8,24.5,7.275,80.752,1,-16.95,1009.94,7347.67,-2.7,29.2,0.78,5.73,16.89,-7.53,13.01,bear,1
SHOP,2021-01-22,2021-01-20,2021-01-25,80,45.64,39.74,44.73,86.4,51.8,1.713,4.977,2,-12.92,190.58,652.87,-4.9,61.7,2.29,11.85,8.08,-13.59,2.82,bear,1
MSFT,2021-01-22,2021-01-20,2021-01-25,65,114.98,99.0,112.68,45.4,27.2,1.812,13.625,2,-13.9,651.81,2362.59,-2.9,32.4,0.9,8.26,20.65,-13.08,3.39,bear,1
AAPL,2021-01-22,2021-01-20,2021-01-25,70,58.32,53.64,57.16,38.5,23.1,0.716,3.49,6,-8.02,387.51,1664.43,-2.6,27.5,2.17,0.38,17.49,-2.11,1.39,bear,1
CRM,2021-04-12,2021-04-08,2021-04-13,72,278.91,296.12,273.33,75.6,45.4,8.85,0.249,1,6.17,-97.19,-860.11,-4.3,54.0,0.9,17.98,41.41,-8.8,11.06,bull,0
PLTR,2021-04-12,2021-04-08,2021-04-13,84,34.59,33.4,33.9,96.8,58.1,1.492,1.08,3,-3.43,-27.64,-123.69,-5.3,69.1,1.62,25.44,56.41,-4.84,1.99,bull,0
PANW,2021-04-16,2021-04-14,2021-04-19,82,203.7,194.11,199.63,76.2,45.7,6.531,7.076,1,-4.71,8.34,54.47,-4.4,54.4,2.02,5.79,40.49,-2.68,8.64,bull,1
MRVL,2021-04-19,2021-04-15,2021-04-20,67,43.27,40.66,42.4,77.2,46.3,1.409,1.937,3,-6.02,37.43,158.25,-4.4,55.2,0.94,10.9,17.02,-31.96,1.86,bull,1
TEAM,2021-07-08,2021-07-06,2021-07-09,75,119.73,125.5,117.33,70.5,42.3,3.473,0.147,1,4.82,-95.77,-332.62,-4.1,50.4,0.98,19.82,19.05,-50.47,4.98,bear,0
SNOW,2021-07-14,2021-07-12,2021-07-15,60,246.13,265.3,241.2,86.6,52.0,9.261,0.217,1,7.79,-97.65,-904.34,-4.9,61.9,0.96,-2.77,17.3,-8.41,14.13,bear,0
ADSK,2021-07-14,2021-07-12,2021-07-15,72,3190.21,3117.87,3126.41,44.2,26.5,48.395,38.205,1,-2.27,-21.06,-1018.96,-2.9,31.6,1.79,7.64,8.82,-1.33,75.33,bear,0
OKTA,2021-07-14,2021-07-12,2021-07-15,93,167.09,189.37,163.74,84.9,50.9,6.131,0.009,1,13.33,-99.86,-612.21,-4.8,60.6,1.2,11.89,32.76,-0.8,8.08,bear,0
NOW,2021-07-16,2021-07-14,2021-07-19,78,409.62,446.53,401.43,72.7,43.6,12.368,0.063,1,9.01,-99.49,-1230.56,-4.2,52.0,1.22,4.08,16.24,-2.16,17.75,bear,0
AMD,2021-07-20,2021-07-16,2021-07-21,85,75.89,81.75,74.37,79.9,48.0,2.585,0.044,1,7.73,-98.3,-254.1,-4.5,57.1,2.11,6.98,24.72,-5.37,3.59,bear,0
CRWD,2021-07-21,2021-07-19,2021-07-22,80,125.52,105.37,123.01,84.6,50.7,4.588,17.58,1,-16.05,283.2,1299.25,-4.8,60.4,2.27,10.6,11.24,-18.47,6.68,bear,1
CRWD,2021-10-18,2021-10-14,2021-10-19,79,135.75,123.27,133.04,85.1,51.1,5.002,9.948,1,-9.2,98.89,494.62,-4.8,60.8,1.89,14.17,19.78,-11.82,6.35,bull,1
CRWD,2022-01-13,2022-01-11,2022-01-14,72,104.39,107.08,102.31,81.5,48.9,3.642,0.537,1,2.58,-85.26,-310.52,-4.6,58.2,1.62,9.67,14.69,-25.44,5.18,bear,0
MDB,2022-01-14,2022-01-12,2022-01-17,70,188.43,165.22,184.66,108.6,65.2,9.324,19.615,1,-12.32,110.36,1029.02,-5.9,77.6,1.09,12.66,13.95,-45.49,10.87,bear,1
SNOW,2022-01-17,2022-01-13,2022-01-18,60,242.06,224.11,237.22,83.8,50.3,8.748,13.873,1,-7.42,58.59,512.53,-4.7,59.9,0.81,14.02,8.42,-19.28,11.08,bear,1
MSFT,2022-01-17,2022-01-13,2022-01-18,68,163.86,174.77,160.58,48.1,28.9,2.815,0.004,1,6.66,-99.87,-281.1,-3.1,34.4,1.3,5.4,17.69,-1.69,4.29,bear,0
SHOP,2022-01-18,2022-01-14,2022-01-19,70,22.16,22.14,21.72,90.8,54.5,0.886,0.312,5,-0.08,-64.74,-286.65,-5.1,64.8,0.85,14.69,49.36,-44.1,0.97,bear,0
DDOG,2022-01-19,2022-01-17,2022-01-20,62,142.95,143.93,140.09,86.9,52.2,5.405,1.524,1,0.69,-71.81,-388.08,-4.9,62.1,1.6,2.74,18.21,-44.95,7.47,bear,0
OKTA,2022-01-24,2022-01-20,2022-01-25,77,107.58,107.04,105.43,88.0,52.8,4.129,1.606,1,-0.51,-61.11,-252.34,-4.9,62.9,1.95,10.96,22.77,-47.1,4.55,bear,0
META,2022-04-08,2022-04-06,2022-04-11,62,577.78,544.02,566.22,57.1,34.2,12.634,23.283,1,-5.84,84.29,1064.89,-3.5,40.8,1.55,-2.28,11.12,-7.07,19.66,bear,1
AVGO,2022-04-11,2022-04-07,2022-04-12,68,107.09,99.99,104.95,58.1,34.9,2.402,5.072,2,-6.63,111.15,534.03,-3.5,41.5,1.48,2.63,20.1,-2.41,3.54,bear,1
ADSK,2022-04-14,2022-04-12,2022-04-15,68,4303.11,4457.44,4217.05,51.7,31.0,82.062,2.446,1,3.59,-97.02,-7961.58,-3.2,37.0,1.4,5.94,14.65,-3.91,138.34,bear,0
AAPL,2022-04-18,2022-04-14,2022-04-19,70,47.6,40.34,46.64,43.8,26.3,0.711,6.278,7,-15.25,783.11,3896.94,-2.9,31.3,2.1,2.16,22.56,-2.48,0.89,bear,1
OKTA,2022-04-18,2022-04-14,2022-04-19,75,159.67,150.25,156.48,73.8,44.3,4.913,6.911,1,-5.9,40.67,199.8,-4.3,52.7,1.09,20.14,40.6,-21.48,7.86,bear,1
NET,2022-04-21,2022-04-19,2022-04-22,70,83.02,69.03,81.36,82.2,49.3,2.928,12.289,1,-16.85,319.76,936.12,-4.7,58.7,0.94,8.82,25.69,-30.79,3.33,bear,1
AMZN,2022-07-11,2022-07-07,2022-07-12,80,184.62,182.7,180.93,56.6,34.0,3.992,1.755,1,-1.04,-56.04,-223.72,-3.5,40.4,0.99,7.39,35.86,-0.55,5.73,bear,0
AAPL,2022-07-11,2022-07-07,2022-07-12,60,36.44,32.89,35.71,42.1,25.3,0.512,2.803,9,-9.75,448.04,2062.61,-2.8,30.1,0.81,9.09,17.21,-25.33,0.86,bear,1
SNOW,2022-07-13,2022-07-11,2022-07-14,75,235.52,258.4,230.81,112.2,67.3,12.115,0.392,1,9.71,-96.76,-1172.33,-6.1,80.2,2.05,7.08,39.19,-21.46,13.47,bear,0
CRWD,2022-07-14,2022-07-12,2022-07-15,60,149.2,153.73,146.22,87.2,52.3,5.665,0.791,1,3.03,-86.04,-487.4,-4.9,62.3,1.07,-4.46,16.3,-14.53,10.06,bear,0
GOOGL,2022-07-14,2022-07-12,2022-07-15,82,137.46,149.29,134.71,65.8,39.5,3.643,0.012,1,8.6,-99.67,-363.16,-3.9,47.0,1.81,8.4,18.59,-5.81,3.8,bear,0
MRVL,2022-07-18,2022-07-14,2022-07-19,92,36.84,37.1,36.11,72.6,43.6,1.111,0.279,4,0.7,-74.89,-332.78,-4.2,51.8,1.86,14.4,42.72,-2.78,1.66,bear,0
META,2022-07-19,2022-07-15,2022-07-20,85,762.02,900.42,746.78,64.3,38.6,19.579,0.0,1,18.16,-100.0,-1957.89,-3.8,45.9,0.86,10.5,17.85,-0.69,30.37,bear,0
DDOG,2022-07-20,2022-07-18,2022-07-21,60,198.22,205.14,194.25,96.5,57.9,8.51,1.196,1,3.49,-85.95,-731.42,-5.3,68.9,1.09,2.42,13.02,-5.55,10.76,bear,0
ADSK,2022-10-10,2022-10-06,2022-10-11,77,9593.36,8977.01,9401.49,46.1,27.7,154.819,426.345,1,-6.42,175.38,27152.67,-3.0,32.9,2.12,9.44,19.87,-0.33,247.18,bull,1
DDOG,2022-10-12,2022-10-10,2022-10-13,70,337.14,357.09,330.4,98.3,59.0,14.8,1.034,1,5.92,-93.01,-1376.59,-5.4,70.2,2.19,1.77,24.46,-6.97,20.79,bull,0
NET,2022-10-24,2022-10-20,2022-10-25,85,171.37,179.64,167.94,83.4,50.1,6.154,0.419,1,4.83,-93.19,-573.55,-4.7,59.6,0.93,21.48,44.78,-0.72,8.03,bull,0
NOW,2023-01-09,2023-01-05,2023-01-10,70,559.78,613.83,548.58,56.0,33.6,11.932,0.004,1,9.66,-99.97,-1192.82,-3.4,40.0,1.09,7.46,15.76,-12.69,20.6,bear,0
AMZN,2023-01-09,2023-01-05,2023-01-10,70,270.49,270.63,265.08,52.5,31.5,5.266,1.388,1,0.05,-73.64,-387.79,-3.3,37.5,0.92,7.26,7.98,-2.86,7.71,bear,0
DDOG,2023-01-09,2023-01-05,2023-01-10,85,687.7,679.26,673.95,68.7,41.2,19.282,9.039,1,-1.23,-53.12,-1024.27,-4.0,49.1,1.02,18.18,17.67,-2.44,33.36,bear,0
OKTA,2023-01-12,2023-01-10,2023-01-13,62,107.86,109.79,105.7,86.7,52.0,4.063,0.83,1,1.78,-79.56,-323.23,-4.9,61.9,1.81,10.6,-8.22,-34.81,5.63,bear,0
SNOW,2023-01-12,2023-01-10,2023-01-13,85,547.9,578.32,536.94,73.3,44.0,16.699,0.563,1,5.55,-96.63,-1613.56,-4.2,52.3,1.06,7.72,16.54,-0.72,22.04,bear,0
NVDA,2023-01-16,2023-01-12,2023-01-17,70,11.05,9.52,10.83,96.2,57.7,0.471,1.31,10,-13.9,177.86,838.36,-5.3,68.7,2.02,3.74,31.27,-83.21,0.53,bear,1
MRVL,2023-01-16,2023-01-12,2023-01-17,67,66.64,57.21,65.31,82.6,49.5,2.363,8.075,2,-14.16,241.76,1142.43,-4.7,59.0,1.69,-0.85,29.81,-8.55,2.8,bear,1
PLTR,2023-01-23,2023-01-19,2023-01-24,78,79.61,89.1,78.02,98.9,59.4,3.523,0.03,1,11.91,-99.16,-349.34,-5.4,70.7,1.34,23.3,14.86,-4.43,4.65,bear,0
CRWD,2023-01-23,2023-01-19,2023-01-24,70,250.67,206.65,245.65,92.6,55.6,10.237,38.889,1,-17.56,279.9,2865.26,-5.1,66.1,1.14,6.15,18.37,-4.46,11.01,bear,1
AMD,2023-04-17,2023-04-13,2023-04-18,63,90.92,89.31,89.1,69.7,41.8,2.596,1.433,1,-1.77,-44.81,-116.32,-4.1,49.8,1.45,3.89,12.44,-2.84,3.5,bull,0
ZS,2023-04-20,2023-04-18,2023-04-21,65,7.55,7.71,7.4,81.7,49.0,0.264,0.046,18,2.07,-82.49,-392.09,-4.6,58.3,0.88,12.08,12.78,-42.23,0.29,bull,0
PLTR,2023-07-10,2023-07-06,2023-07-11,60,54.53,54.45,53.44,119.5,71.7,3.02,1.149,1,-0.14,-61.96,-187.1,-6.4,85.4,1.13,6.27,21.28,-46.42,3.4,bull,0
PANW,2023-07-10,2023-07-06,2023-07-11,70,127.28,103.75,124.74,72.7,43.6,3.841,20.925,1,-18.49,444.79,1708.41,-4.2,51.9,2.04,15.11,8.97,-33.51,5.74,bull,1
ORCL,2023-07-11,2023-07-07,2023-07-12,60,516.02,524.32,505.7,39.2,23.5,6.496,0.38,1,1.61,-94.15,-611.54,-2.6,28.0,1.37,5.01,14.91,-0.22,10.68,bull,0
MSFT,2023-07-12,2023-07-10,2023-07-13,64,207.71,234.03,203.55,40.6,24.4,2.766,0.0,1,12.67,-100.0,-276.55,-2.7,29.0,1.65,6.02,12.08,-2.26,5.56,bull,0
DDOG,2023-07-17,2023-07-13,2023-07-18,69,845.15,946.76,828.25,86.5,51.9,31.728,0.105,1,12.02,-99.67,-3162.32,-4.9,61.8,1.94,5.72,14.76,-6.68,43.87,bull,0
SNOW,2023-07-17,2023-07-13,2023-07-18,62,366.32,362.81,359.0,82.0,49.2,12.878,5.588,1,-0.96,-56.61,-729.01,-4.6,58.6,0.9,8.62,23.13,-47.88,19.85,bull,0
NET,2023-07-18,2023-07-14,2023-07-19,77,284.39,242.67,278.7,85.2,51.1,10.48,35.914,1,-14.67,242.71,2543.47,-4.8,60.8,0.62,7.7,40.36,-2.62,12.72,bull,1
AVGO,2023-07-18,2023-07-14,2023-07-19,70,140.21,143.75,137.41,57.0,34.2,3.066,0.243,1,2.52,-92.07,-282.3,-3.5,40.7,1.46,9.79,25.24,-3.51,4.61,bull,0
AMD,2023-07-19,2023-07-17,2023-07-20,82,124.7,121.64,122.21,83.0,49.8,4.451,2.799,1,-2.46,-37.12,-165.24,-4.7,59.3,0.97,22.19,25.36,-1.06,5.7,bull,0
SNOW,2023-10-12,2023-10-10,2023-10-13,60,466.59,492.35,457.26,80.8,48.5,16.1,0.761,1,5.52,-95.27,-1533.88,-4.6,57.7,2.09,-3.11,19.29,-33.62,22.14,bull,0
ADSK,2023-10-17,2023-10-13,2023-10-18,74,10516.97,10929.3,10306.63,59.1,35.5,241.52,9.326,1,3.92,-96.14,-23219.44,-3.6,42.2,1.52,20.87,22.85,-8.87,388.64,bull,0
TEAM,2023-10-18,2023-10-16,2023-10-19,69,90.54,100.55,88.73,64.1,38.4,2.315,0.001,2,11.06,-99.96,-462.84,-3.8,45.8,1.92,7.23,31.72,-12.77,3.63,bull,0
ZS,2023-10-23,2023-10-19,2023-10-24,67,9.19,8.2,9.0,75.2,45.1,0.288,0.801,17,-10.76,177.77,871.63,-4.3,53.7,0.84,12.39,22.28,-16.25,0.4,bull,1
AMD,2023-10-23,2023-10-19,2023-10-24,62,135.12,135.16,132.41,77.1,46.3,4.394,1.416,1,0.03,-67.77,-297.79,-4.4,55.1,0.94,9.99,7.17,-4.75,6.76,bull,0
NET,2024-01-09,2024-01-05,2024-01-10,82,314.23,279.67,307.94,71.4,42.8,9.258,28.197,1,-11.0,204.58,1893.95,-4.1,51.0,0.79,15.49,37.35,-1.86,14.46,bull,1
SNOW,2024-01-12,2024-01-10,2024-01-15,70,361.17,345.57,353.95,73.5,44.1,11.062,11.362,1,-4.32,2.71,29.97,-4.2,52.5,2.15,6.89,11.71,-48.62,15.5,bear,1
TEAM,2024-01-22,2024-01-18,2024-01-23,62,128.42,134.92,125.85,54.0,32.4,2.599,0.031,1,5.06,-98.8,-256.72,-3.3,38.6,1.84,4.67,14.26,-5.01,4.21,bear,0
ADSK,2024-01-22,2024-01-18,2024-01-23,68,11553.64,11096.65,11322.56,41.0,24.6,155.87,257.211,1,-3.96,65.02,10134.08,-2.7,29.3,1.37,8.33,11.05,-1.08,295.74,bear,1
PLTR,2024-01-22,2024-01-18,2024-01-23,70,221.49,239.9,217.06,91.8,55.1,8.95,0.216,1,8.31,-97.59,-873.37,-5.1,65.6,0.94,4.32,40.15,-0.8,12.68,bear,0
NVDA,2024-01-22,2024-01-18,2024-01-23,65,18.67,15.73,18.3,103.6,62.2,0.874,2.567,5,-15.77,193.73,846.59,-5.7,74.0,1.09,8.55,26.91,-22.87,1.02,bear,1
